hr,min,sec,ax,ay,az,gx,gy,gz,temp
1,2,37,-0.453840,0.295240,0.808616,38.150002,26.809999,12.040000,26.35
1,2,37,-0.460672,0.355752,0.770552,37.799999,26.950001,17.150000,26.37
1,2,37,-0.500688,0.266936,0.885720,18.830000,36.119999,10.780000,26.32
1,2,37,-0.581208,0.299632,0.807640,5.460000,34.509998,2.940000,26.32
1,2,37,-0.397232,0.355264,0.874496,-8.190000,14.560000,3.990000,26.34
1,2,37,-0.411384,0.335744,0.842776,-16.590000,4.550000,-4.270000,26.39
1,2,37,-0.448960,0.333304,0.869616,-20.510000,-11.130000,-3.850000,26.32
1,2,37,-0.436760,0.325496,0.885720,-8.540000,-23.030001,-1.330000,26.32
1,2,37,-0.403576,0.372344,0.923784,-0.210000,-28.420000,4.340000,26.32
1,2,37,-0.423096,0.312320,0.885232,-9.940000,-24.430000,-2.310000,26.32
1,2,37,-0.465064,0.281088,0.846680,-3.850000,-15.820000,2.800000,26.34
1,2,38,-0.406016,0.302072,0.852048,-7.140000,-1.960000,8.050000,26.37
1,2,38,-0.400648,0.313784,0.878400,-17.010000,-13.440000,5.740000,26.31
1,2,38,-0.415288,0.286456,0.882304,-21.840000,-16.030001,2.170000,26.36
1,2,38,-0.430416,0.278160,0.858880,-24.150000,-15.960000,1.680000,26.36
1,2,38,-0.441640,0.277184,0.845704,-32.130001,-16.799999,1.400000,26.34
1,2,38,-0.450912,0.251320,0.826184,-34.369999,-21.910000,-2.590000,26.34
1,2,38,-0.460672,0.245952,0.834480,-19.600000,-30.240000,-6.790000,26.34
1,2,38,-0.498248,0.257176,0.942816,-29.330000,-29.959999,-10.570000,26.35
1,2,38,-0.494344,0.213744,0.939400,-35.630001,-25.340000,-8.330000,26.34
1,2,38,-0.463600,0.182512,0.925248,-14.910000,-26.600000,-0.070000,26.27
1,2,38,-0.350384,0.205448,0.936960,1.400000,-35.419998,-1.050000,26.32
1,2,38,-0.331840,0.199104,0.908168,7.420000,-46.340000,-9.310000,26.32
1,2,38,-0.325496,0.226920,0.867176,13.510000,-58.240002,-10.780000,26.36
1,2,38,-0.308416,0.274256,0.877424,4.900000,-61.459999,-9.170000,26.33
1,2,38,-0.131272,0.117120,0.841312,-4.830000,-142.520004,-62.580002,26.33
1,2,38,0.053680,0.276696,0.991616,68.389999,-90.230003,-10.850000,26.32
1,2,38,-0.017080,0.187880,1.040904,39.689999,-63.560001,-5.810000,26.36
1,2,38,-0.051240,0.174704,0.996984,2.660000,-38.220001,-9.660000,26.36
1,2,38,-0.124440,0.266448,0.985760,7.910000,-23.100000,-15.470000,26.38
1,2,38,-0.118584,0.246928,1.024800,13.860000,-18.200001,-20.510000,26.34
1,2,38,-0.066856,0.208864,1.052128,6.370000,-42.700001,-32.549999,26.34
1,2,38,-0.033184,0.293776,0.864736,-91.000000,-111.300003,-38.500000,26.32
1,2,38,0.026840,0.231312,0.916464,-94.989998,-101.849998,-30.660000,26.30
1,2,38,0.085888,0.203984,1.118008,-67.410004,-70.000000,-24.709999,26.33
1,2,38,0.110776,0.156160,1.170712,-12.530000,-24.709999,-26.389999,26.33
1,2,38,0.010248,0.154208,1.116544,-13.650000,-13.790000,-12.040000,26.33
1,2,38,0.023424,0.113704,1.046760,21.490000,10.780000,-10.430000,26.36
1,2,38,0.054168,0.182024,1.048712,56.000000,13.650000,-9.240000,26.33
1,2,38,0.061976,0.270840,1.037000,34.720001,-10.360000,1.190000,26.32
1,2,38,0.073200,0.236680,0.983808,15.050000,5.670000,1.890000,26.32
1,2,38,0.037088,0.323056,1.002840,-8.050000,24.500000,9.730000,26.37
1,2,38,0.054168,0.282552,0.942328,-25.620001,66.290001,19.320000,26.34
1,2,38,-0.022448,0.182024,0.921344,-34.720001,106.540001,21.770000,26.34
1,2,38,-0.054656,0.183976,0.945744,-29.889999,127.680000,31.639999,26.37
1,2,38,0.111264,0.135176,1.015040,25.969999,73.849998,31.219999,26.34
1,2,38,-0.467016,0.143960,0.882792,-42.630001,-49.349998,-18.129999,26.29
1,2,38,-0.269864,0.365512,0.811056,-86.660004,-21.280001,16.730000,26.29
1,2,38,0.106384,0.325008,0.940864,-103.040001,47.320000,34.090000,26.37
1,2,38,0.097112,0.216672,1.021872,-115.500000,86.940002,34.439999,26.33
1,2,38,-0.093696,0.123464,1.035536,-105.910004,100.800003,26.530001,26.33
1,2,38,-0.174704,0.078568,1.042856,-49.630001,90.019997,19.459999,26.33
1,2,38,-0.252784,0.126392,0.991616,-3.640000,58.730000,23.520000,26.33
1,2,38,-0.077592,-0.030256,1.063840,-57.259998,-18.410000,2.660000,26.31
1,2,38,-0.080520,-0.067832,1.077504,-41.299999,-0.420000,-2.100000,26.41
1,2,38,-0.102968,0.005368,1.039928,-18.059999,-6.440000,3.010000,26.41
1,2,38,-0.131272,0.076128,1.045784,-22.820000,10.360000,9.660000,26.37
1,2,38,-0.146400,0.070272,0.984296,-34.860001,13.510000,8.610000,26.36
1,2,38,-0.218136,0.049776,1.190232,17.080000,-3.080000,4.340000,26.32
1,2,38,-0.175680,0.133712,0.925736,-36.259998,-14.490000,-0.140000,26.32
1,2,38,-0.184952,0.071248,0.854976,-122.849998,8.890000,5.600000,26.34
1,2,38,-0.145912,0.016592,0.871080,-132.929993,18.760000,5.390000,26.34
1,2,39,-0.146888,-0.028304,0.880840,-123.129997,21.139999,4.060000,26.33
1,2,39,-0.186904,-0.074176,0.880840,-93.309998,8.820000,-4.970000,26.31
1,2,39,-0.204960,-0.175680,0.894992,5.390000,-16.940001,-18.129999,26.31
1,2,39,-0.135664,-0.250832,1.024800,47.529999,-43.540001,-34.369999,26.31
1,2,39,-0.056608,-0.044408,1.146800,50.540001,-58.939999,-33.529999,26.32
1,2,39,0.041968,-0.022448,1.174128,-38.990002,-11.760000,-7.210000,26.32
1,2,39,0.042944,-0.119072,1.065792,-31.780001,9.870000,7.560000,26.32
1,2,39,0.015128,-0.132736,0.974536,19.879999,20.930000,13.370000,26.34
1,2,39,-0.021960,-0.082472,0.960872,48.720001,18.690001,15.050000,26.34
1,2,39,-0.094672,-0.003904,0.976488,45.639999,9.870000,11.270000,26.34
1,2,39,-0.178120,0.048312,0.940864,19.320000,-9.940000,5.180000,26.34
1,2,39,-0.178120,0.035136,0.929640,-7.070000,-14.000000,-3.290000,26.31
1,2,39,-0.126392,-0.075152,0.881328,-39.480000,3.500000,6.090000,26.34
1,2,39,-0.285968,-0.206424,1.095072,30.100000,21.770000,8.680000,26.34
1,2,39,-0.141520,-0.047336,1.146800,-26.670000,-18.340000,-8.120000,26.33
1,2,39,-0.094184,-0.062464,1.099952,-45.570000,-21.280001,-8.540000,26.34
1,2,39,-0.051728,-0.101992,1.025288,-48.790001,-15.960000,-6.090000,26.35
1,2,39,-0.029280,-0.135664,0.982344,-47.459999,2.660000,0.980000,26.35
1,2,39,-0.052216,-0.160064,0.920856,-37.380001,16.520000,4.970000,26.34
1,2,39,-0.232776,-0.149328,1.010648,60.340000,9.030000,6.090000,26.32
1,2,39,-0.162016,-0.031720,1.046272,51.939999,-9.940000,-3.990000,26.33
1,2,39,-0.135176,0.058560,1.075552,5.810000,-31.290001,-13.370000,26.35
1,2,39,-0.111264,0.014152,1.053104,-30.170000,-31.570000,-12.460000,26.35
1,2,39,-0.085400,-0.068320,0.979904,-51.240002,-18.340000,-8.680000,26.38
1,2,39,-0.036600,-0.136152,0.882304,-53.900002,-2.310000,-4.690000,26.36
1,2,39,-0.045384,-0.195688,0.880352,-41.020000,17.010000,0.210000,26.30
1,2,39,-0.089304,-0.107360,0.882304,-17.990000,25.200001,-13.090000,26.34
1,2,39,-0.026352,0.015616,0.852048,-48.650002,8.750000,-31.709999,26.34
1,2,39,-0.018544,0.021472,0.865712,-90.790001,7.070000,-43.610001,26.34
1,2,39,-0.050752,-0.044408,0.843264,-133.000000,12.810000,-51.590000,26.34
1,2,39,-0.093696,-0.168360,0.809104,-154.490005,22.750000,-48.790001,26.34
