timestamp,ctr,ax_g,ay_g,az_g
2026-02-17T20:05:51.360,26487,-1.360,-1.815,1.792
2026-02-17T20:05:51.375,26488,-0.536,-1.793,1.189
2026-02-17T20:05:51.390,26489,0.080,-1.799,1.033
2026-02-17T20:05:51.405,26490,0.418,-1.764,1.113
2026-02-17T20:05:51.405,26491,0.535,-1.678,1.221
2026-02-17T20:05:51.419,26492,0.487,-1.537,1.257
2026-02-17T20:05:51.464,26493,0.371,-1.320,1.100
2026-02-17T20:05:51.465,26494,0.267,-1.122,0.861
2026-02-17T20:05:51.465,26495,0.309,-0.846,0.693
2026-02-17T20:05:51.525,26497,0.225,-0.445,0.730
2026-02-17T20:05:51.526,26498,0.377,-0.140,0.787
2026-02-17T20:05:51.526,26499,0.518,0.110,0.761
2026-02-17T20:05:51.585,26501,0.395,0.544,0.274
2026-02-17T20:05:51.586,26502,0.158,0.680,0.184
2026-02-17T20:05:51.586,26503,0.101,0.775,0.337
2026-02-17T20:05:51.645,26505,0.084,1.019,0.760
2026-02-17T20:05:51.645,26506,0.352,1.471,0.902
2026-02-17T20:05:51.646,26507,0.349,1.660,0.875
2026-02-17T20:05:51.705,26509,0.810,2.098,0.752
2026-02-17T20:05:51.705,26510,1.069,2.142,0.522
2026-02-17T20:05:51.706,26511,1.004,1.930,0.529
2026-02-17T20:05:51.765,26513,0.718,1.565,1.015
2026-02-17T20:05:51.765,26514,0.430,1.146,1.405
2026-02-17T20:05:51.765,26515,0.244,0.929,1.437
2026-02-17T20:05:51.825,26517,0.104,0.791,1.179
2026-02-17T20:05:51.825,26518,0.156,0.731,0.765
2026-02-17T20:05:51.825,26519,0.150,0.671,0.606
2026-02-17T20:05:51.885,26521,0.330,0.452,0.488
2026-02-17T20:05:51.885,26522,0.532,-0.227,0.490
2026-02-17T20:05:51.886,26523,0.622,-0.618,0.506
2026-02-17T20:05:51.945,26525,0.766,-1.311,0.621
2026-02-17T20:05:51.945,26526,0.493,-2.124,1.078
2026-02-17T20:05:51.946,26527,0.165,-2.155,1.465
2026-02-17T20:05:52.004,26529,-0.676,-1.807,2.103
